Gene stable ID,WikiGene name
ENSMMUG00000021577,DHCR24
ENSMMUG00000015631,SMYD2
ENSMMUG00000007390,IL20RB
ENSMMUG00000039139,RIMS3
ENSMMUG00000049373,LRRN1
ENSMMUG00000059767,C2H3orf70
ENSMMUG00000002455,CHI3L2
ENSMMUG00000012221,PRKAB2
ENSMMUG00000015632,PTPN14
ENSMMUG00000012477,PTPRF
ENSMMUG00000003650,TMEM42
ENSMMUG00000010729,RGS7
ENSMMUG00000017828,SETMAR
ENSMMUG00000011156,RHCE
ENSMMUG00000004563,PLXNA2
ENSMMUG00000009234,ZNF684
ENSMMUG00000064473,MRTO4
ENSMMUG00000015634,CENPF
ENSMMUG00000004734,SUMF1
ENSMMUG00000009636,CLDN18
ENSMMUG00000022009,CDC42
ENSMMUG00000023814,MAP3K13
ENSMMUG00000005836,ZFP69
ENSMMUG00000005836,ZFP69B
ENSMMUG00000007886,CASR
ENSMMUG00000064824,GREM2
ENSMMUG00000032217,TMEM50A
ENSMMUG00000015580,TXLNA
ENSMMUG00000021574,TTC22
ENSMMUG00000023275,MTF1
ENSMMUG00000019740,ZDHHC3
ENSMMUG00000013269,DZIP1L
ENSMMUG00000013269,A4GNT
ENSMMUG00000032084,PARS2
ENSMMUG00000013839,SMAP2
ENSMMUG00000019154,SFPQ
ENSMMUG00000018458,SMG7
ENSMMUG00000005372,YRDC
ENSMMUG00000002970,RSRP1
ENSMMUG00000016931,KCNK2
ENSMMUG00000022040,MANEAL
ENSMMUG00000005185,RGS4
ENSMMUG00000002968,SYF2
ENSMMUG00000021385,CA14
ENSMMUG00000001869,SNAP47
ENSMMUG00000006754,TTC4
ENSMMUG00000002461,CEPT1
ENSMMUG00000012727,IFT122
ENSMMUG00000022639,KCTD3
ENSMMUG00000018664,COL9A2
ENSMMUG00000021284,DBR1
ENSMMUG00000005068,GFI1
ENSMMUG00000000220,MRPL3
ENSMMUG00000046626,TMEM41A
ENSMMUG00000021442,CHRM3
ENSMMUG00000007338,TXNIP
ENSMMUG00000003369,CAMK1G
ENSMMUG00000016479,ZMYM1
ENSMMUG00000014340,CDCA8
ENSMMUG00000051139,CLEC3B
ENSMMUG00000003277,CPNE4
ENSMMUG00000008338,WNT9A
ENSMMUG00000016054,HJV
ENSMMUG00000007806,LYPLAL1
ENSMMUG00000013018,SENP2
ENSMMUG00000022640,USH2A
ENSMMUG00000005186,RGS5
ENSMMUG00000021531,ANP32E
ENSMMUG00000016738,POLR3GL
ENSMMUG00000005742,CDCP1
ENSMMUG00000002416,CLIC4
ENSMMUG00000015650,TMEM39B
ENSMMUG00000016925,LAMB3
ENSMMUG00000017360,NT5DC2
ENSMMUG00000012105,FXR1
ENSMMUG00000021449,VPS13D
ENSMMUG00000000812,DRAM2
ENSMMUG00000000812,LRIF1
ENSMMUG00000001152,NUF2
ENSMMUG00000023416,IGF2BP2
ENSMMUG00000010096,RPAP2
ENSMMUG00000008420,RSPO1
ENSMMUG00000005000,ZMYM6
ENSMMUG00000050505,SMIM4
ENSMMUG00000002791,C1H1orf35
ENSMMUG00000005992,ZMPSTE24
ENSMMUG00000002105,ZP4
ENSMMUG00000021285,ARMC8
ENSMMUG00000023438,KHDRBS1
ENSMMUG00000015590,SIAH2
ENSMMUG00000001185,TRA2B
ENSMMUG00000013681,PLEKHO1
ENSMMUG00000008419,GNL2
ENSMMUG00000040654,ANKRD34A
ENSMMUG00000013680,FAM151A
ENSMMUG00000017361,PBRM1
ENSMMUG00000006645,SRRM1
ENSMMUG00000052510,TMCO2
ENSMMUG00000018460,NCF2
ENSMMUG00000016053,LIX1L
ENSMMUG00000018020,LARS2
ENSMMUG00000016567,HAO2
ENSMMUG00000048232,MINDY4B
ENSMMUG00000042531,TMEM35B
ENSMMUG00000032180,RLF
ENSMMUG00000010095,GLMN
ENSMMUG00000016051,RBM8A
ENSMMUG00000023085,GUK1
ENSMMUG00000013673,VPS45
ENSMMUG00000021451,CLRN1
ENSMMUG00000001060,RYR2
ENSMMUG00000004998,DLGAP3
ENSMMUG00000023086,GJC2
ENSMMUG00000046901,PTP4A2
ENSMMUG00000045482,G0S2
ENSMMUG00000009189,PPT1
ENSMMUG00000016048,PEX11B
ENSMMUG00000012511,GNL3
ENSMMUG00000019108,PBX1
ENSMMUG00000016005,DNAJC13
ENSMMUG00000059587,HSD11B1
ENSMMUG00000008418,DNALI1
ENSMMUG00000000811,CD53
ENSMMUG00000007244,OTUD7B
ENSMMUG00000010711,LIMD1
ENSMMUG00000059855,SNIP1
ENSMMUG00000012579,LSAMP
ENSMMUG00000012723,MBD4
ENSMMUG00000014946,GPATCH2
ENSMMUG00000022927,RCAN3
ENSMMUG00000021972,DGKG
ENSMMUG00000020976,SSBP3
ENSMMUG00000022062,TRAF3IP3
ENSMMUG00000016399,RGL1
ENSMMUG00000022677,GJB3
ENSMMUG00000012526,GLT8D1
ENSMMUG00000001860,GJB4
ENSMMUG00000012104,DNAJC19
ENSMMUG00000018684,KCNA3
ENSMMUG00000007246,MTMR11
ENSMMUG00000041046,WARS2
ENSMMUG00000054017,KCNA2
ENSMMUG00000017370,SPCS1
ENSMMUG00000010328,MEAF6
ENSMMUG00000017244,GPR171
ENSMMUG00000004466,NIPAL3
ENSMMUG00000012578,GAP43
ENSMMUG00000017245,P2RY14
ENSMMUG00000007256,SF3B4
ENSMMUG00000043091,H1FX
ENSMMUG00000001103,GPR87
ENSMMUG00000007213,SPATA17
ENSMMUG00000017903,NEK4
ENSMMUG00000005466,SPOCD1
ENSMMUG00000006300,LMX1A
ENSMMUG00000048681,CRYGS
ENSMMUG00000001105,P2RY12
ENSMMUG00000022065,IRF6
ENSMMUG00000054255,STPG1
ENSMMUG00000013167,HMCES
ENSMMUG00000002130,SACM1L
ENSMMUG00000007257,SV2A
ENSMMUG00000017564,TBCCD1
ENSMMUG00000001107,IGSF10
ENSMMUG00000009257,TBX15
ENSMMUG00000022066,UTP25
ENSMMUG00000006669,UBR4
ENSMMUG00000009188,CAP1
ENSMMUG00000010323,ZC3H12A
ENSMMUG00000010073,MTR
ENSMMUG00000004070,RRP15
ENSMMUG00000007258,BOLA1
ENSMMUG00000004463,GRHL3
ENSMMUG00000061036,HIST2H2AB
ENSMMUG00000037540,HIST2H2AC
ENSMMUG00000003199,CD200R1
ENSMMUG00000004071,TGFB2
ENSMMUG00000018774,AADACL2
ENSMMUG00000002892,RXRG
ENSMMUG00000015947,CDCP2
ENSMMUG00000001664,AADAC
ENSMMUG00000013163,COPG1
ENSMMUG00000060284,APOBEC4
ENSMMUG00000008519,SPAG17
ENSMMUG00000011264,MFSD2A
ENSMMUG00000018909,FETUB
ENSMMUG00000054078,LOC115945177
ENSMMUG00000054078,LOC114669830
ENSMMUG00000054078,HIST2H3A
ENSMMUG00000016405,COLGALT2
ENSMMUG00000002741,CSMD2
ENSMMUG00000014218,TCEANC2
ENSMMUG00000018910,HRG
ENSMMUG00000007565,CBLB
ENSMMUG00000009967,SERTAD4
ENSMMUG00000023057,IFNLR1
ENSMMUG00000015518,LRRC52
ENSMMUG00000016736,RNF115
ENSMMUG00000014018,BRDT
ENSMMUG00000006812,DCLK3
ENSMMUG00000004614,KCNC4
ENSMMUG00000015948,MGST3
ENSMMUG00000016223,MYCL
